iter	MAE
0	18221.98237
1	17847.78924
2	17477.00919
3	17106.95656
4	16814.05326
5	16457.52597
6	16191.88183
7	15844.75476
8	15519.73284
9	15192.95826
10	14889.93018
11	14601.84288
12	14335.1566
13	14123.34114
14	13931.56487
15	13708.72803
16	13488.82374
17	13265.09076
18	13097.21444
19	12905.75634
20	12722.14198
21	12526.36837
22	12378.41412
23	12339.15884
24	12172.04778
25	12026.72182
26	11956.64861
27	11802.9398
28	11644.63226
29	11536.66679
30	11408.5895
31	11283.48512
32	11138.14462
33	11054.85158
34	10977.01503
35	10885.16474
36	10772.29931
37	10712.14722
38	10663.32821
39	10594.76922
40	10526.41258
41	10446.96914
42	10434.47881
43	10409.21617
44	10396.00561
45	10384.8767
46	10287.81063
47	10233.24188
48	10186.51047
49	10135.97987
50	10111.02019
51	10099.10502
52	10087.55457
53	10010.25424
54	9938.65085
55	9927.551719
56	9921.535726
57	9915.818908
58	9839.117142
59	9805.76202
60	9781.848784
61	9713.799013
62	9700.057506
63	9694.386727
64	9664.616729
65	9660.594796
66	9657.374059
67	9603.744516
68	9536.46988
69	9531.463199
70	9506.251828
71	9488.599947
72	9461.107052
73	9455.142093
74	9403.741366
75	9388.851549
76	9362.552026
77	9341.007317
78	9295.191877
79	9269.027246
80	9250.44508
81	9213.818476
82	9165.88912
83	9159.631227
84	9154.150878
85	9151.432281
86	9138.897193
87	9113.737056
88	9098.998791
89	9069.277161
90	9006.02951
91	9004.474251
92	9001.665167
93	8992.700346
94	8991.51409
95	8973.791623
96	8948.435483
97	8909.199132
98	8900.786723
99	8897.872981
100	8896.23936
101	8889.71783
102	8885.414084
103	8884.570831
104	8881.428624
105	8880.139352
106	8875.670167
107	8873.010937
108	8871.630064
109	8869.506823
110	8848.846456
111	8847.681901
112	8839.226756
113	8804.902841
114	8802.423616
115	8767.978543
116	8759.459044
117	8759.174755
118	8745.724465
119	8744.770889
120	8738.73969
121	8738.493877
122	8734.311518
123	8723.513668
124	8721.265228
125	8719.323892
126	8717.442594
127	8709.260674
128	8707.561861
129	8707.411989
130	8706.586489
131	8703.26917
132	8701.876471
133	8670.961689
134	8669.956108
135	8669.850466
136	8647.255952
137	8646.785873
138	8597.82832
139	8586.690349
140	8570.877546
141	8570.73289
142	8567.833721
143	8562.730762
144	8506.472096
145	8491.653304
146	8490.880327
147	8480.623779
148	8480.390295
149	8479.647498
150	8478.5691
151	8463.341337
152	8463.304654
153	8458.122909
154	8454.692195
155	8418.940196
156	8413.287643
157	8411.679534
158	8406.930543
159	8404.924331
160	8404.529376
161	8402.74059
162	8390.243154
163	8389.543864
164	8387.763725
165	8383.557185
166	8383.169007
167	8369.711551
168	8366.791001
169	8362.408576
170	8361.94152
171	8361.937719
172	8360.800061
173	8359.903392
174	8339.524617
175	8337.824437
176	8298.007209
177	8296.588669
178	8294.521577
179	8274.977773
180	8273.691521
181	8271.607892
182	8270.857878
183	8270.329886
184	8261.729287
185	8237.240622
186	8210.700974
187	8201.409653
188	8192.701792
189	8179.491542
190	8176.479095
191	8175.663381
192	8144.976464
193	8144.673328
194	8133.968365
195	8117.05557
196	8081.735513
197	8067.941721
198	8065.495187
199	8020.594323
200	8019.164714
201	8018.855375
202	7977.165484
203	7943.048194
204	7919.440696
205	7918.612495
206	7895.603138
207	7851.748219
208	7826.97561
209	7826.781926
210	7826.496643
211	7804.628778
212	7802.653012
213	7782.791077
214	7781.79948
215	7781.436249
216	7779.972725
217	7779.792815
218	7779.454788
219	7778.902305
220	7777.156997
221	7776.165986
222	7741.997755
223	7710.811324
224	7708.876942
225	7708.074823
226	7691.667383
227	7691.206088
228	7690.984279
229	7690.366693
230	7688.690481
231	7673.027243
232	7672.328333
233	7665.225527
234	7663.562055
235	7627.311184
236	7626.884753
237	7626.577798
238	7622.556289
239	7622.102918
240	7597.541433
241	7576.055035
242	7555.158333
243	7553.574416
244	7553.291106
245	7552.944589
246	7552.77829
247	7513.769803
248	7485.398962
249	7472.243577
250	7443.690436
251	7422.796089
252	7421.749453
253	7401.781605
254	7389.090637
255	7388.507106
256	7382.132304
257	7371.207624
258	7366.624089
259	7330.964362
260	7313.307153
261	7313.186557
262	7312.247999
263	7286.749554
264	7283.272528
265	7267.579095
266	7265.662805
267	7265.410954
268	7256.915157
269	7256.721799
270	7255.726016
271	7255.183048
272	7254.7684
273	7240.444387
274	7227.341941
275	7224.024768
276	7222.746542
277	7196.514568
278	7181.219384
279	7156.645723
280	7149.788918
281	7148.413382
282	7145.927553
283	7142.175855
284	7138.642426
285	7137.952708
286	7137.698785
287	7137.309674
288	7137.125431
289	7136.780911
290	7132.758646
291	7113.908685
292	7113.616888
293	7101.831674
294	7101.19893
295	7087.885488
296	7064.270893
297	7057.427821
298	7055.399665
299	7052.920573
300	7052.310705
301	7043.977059
302	7024.747355
303	7023.880948
304	7022.806409
305	7021.585833
306	7000.441378
307	6997.358369
308	6989.310637
309	6985.537448
310	6983.460795
311	6968.508002
312	6961.835928
313	6957.450383
314	6955.102721
315	6951.895046
316	6951.795151
317	6942.746083
318	6942.273324
319	6930.935787
320	6928.6646
321	6927.954796
322	6927.615808
323	6919.773919
324	6919.520007
325	6907.937443
326	6907.846138
327	6907.303973
328	6906.765228
329	6888.473696
330	6885.056349
331	6884.758695
332	6883.200973
333	6882.003846
334	6880.662647
335	6876.628718
336	6876.491958
337	6866.991288
338	6866.679647
339	6866.382853
340	6865.973781
341	6865.696276
342	6862.323161
343	6862.056327
344	6861.67263
345	6853.920826
346	6852.270428
347	6851.84283
348	6851.671192
349	6851.460629
350	6851.14953
351	6851.087519
352	6850.881982
353	6850.751102
354	6846.869018
355	6846.774172
356	6830.027054
357	6829.480533
358	6823.592255
359	6821.726734
360	6807.633579
361	6806.463704
362	6801.256121
363	6794.157422
364	6784.965522
365	6784.884041
366	6776.654554
367	6776.118735
368	6774.845688
369	6774.697383
370	6763.091328
371	6761.760027
372	6760.429481
373	6760.34602
374	6758.457004
375	6757.239977
376	6757.180052
377	6756.971949
378	6756.402128
379	6750.639332
380	6749.438187
381	6739.218217
382	6729.955875
383	6727.995187
384	6727.110413
385	6726.831312
386	6725.403136
387	6724.834907
388	6723.166957
389	6707.967489
390	6702.196566
391	6698.848626
392	6698.29647
393	6697.855391
394	6697.690425
395	6697.574521
396	6692.290599
397	6680.111099
398	6677.584146
399	6677.502104
400	6676.368784
401	6675.800726
402	6670.6065
403	6669.395201
404	6653.891369
405	6652.077906
406	6651.995843
407	6649.892083
408	6649.735371
409	6648.905537
410	6646.807181
411	6643.250189
412	6638.755947
413	6638.598447
414	6624.508853
415	6622.593556
416	6621.537446
417	6620.984695
418	6607.066661
419	6601.204446
420	6589.282395
421	6588.975067
422	6585.79629
423	6585.458531
424	6581.241442
425	6579.702401
426	6578.885005
427	6578.4455
428	6578.251851
429	6578.096419
430	6570.508736
431	6570.167301
432	6569.944308
433	6569.699588
434	6569.610424
435	6569.364365
436	6569.199921
437	6569.133121
438	6567.310768
439	6565.302998
440	6558.647268
441	6553.82152
442	6550.96996
443	6538.20042
444	6537.063201
445	6530.80242
446	6530.41032
447	6530.346857
448	6530.274747
449	6519.920448
450	6519.831896
451	6519.68404
452	6519.084491
453	6515.559912
454	6514.827842
455	6512.474945
456	6512.157041
457	6507.975217
458	6506.674809
459	6494.685199
460	6490.059689
461	6476.442368
462	6476.243805
463	6475.961667
464	6474.373925
465	6474.324684
466	6473.394435
467	6462.676537
468	6462.476264
469	6462.391028
470	6462.276491
471	6458.614448
472	6449.623112
473	6449.140583
474	6447.567557
475	6447.49933
476	6444.172816
477	6443.573412
478	6430.714246
479	6422.395841
480	6421.768314
481	6418.310484
482	6417.888401
483	6417.770312
484	6407.587559
485	6407.287895
486	6405.035853
487	6401.677674
488	6401.302294
489	6399.387314
490	6399.184532
491	6398.523517
492	6392.538221
493	6392.124901
494	6386.99897
495	6386.594231
496	6386.311467
497	6383.938824
498	6383.803257
499	6382.915289
500	6382.852678
501	6382.775272
502	6368.66979
503	6368.594169
504	6368.162126
505	6367.949069
506	6365.692039
507	6365.464497
508	6363.936015
509	6363.291144
510	6363.154964
511	6358.382101
512	6358.316841
513	6358.264764
514	6347.608786
515	6347.545516
516	6342.962398
517	6340.775906
518	6339.941432
519	6339.546166
520	6339.147711
521	6337.619449
522	6337.305829
523	6337.2306
524	6327.692293
525	6323.374433
526	6320.49799
527	6320.056792
528	6316.347427
529	6315.786157
530	6315.09984
531	6314.483744
532	6307.87805
533	6307.436955
534	6307.17476
535	6307.125056
536	6307.047635
537	6299.846028
538	6299.787267
539	6299.327405
540	6296.637164
541	6296.546379
542	6295.116837
543	6294.695847
544	6292.042367
545	6291.822359
546	6291.309458
547	6284.346858
548	6284.261285
549	6282.455556
550	6282.380506
551	6279.613864
552	6278.879703
553	6278.703374
554	6274.672972
555	6273.541819
556	6272.245606
557	6269.463214
558	6268.578276
559	6266.535461
560	6265.418359
561	6265.32998
562	6256.939999
563	6255.734964
564	6255.675099
565	6251.466124
566	6251.200247
567	6249.499261
568	6249.377389
569	6244.346493
570	6244.265326
571	6243.160747
572	6242.733179
573	6242.223645
574	6242.15765
575	6242.055556
576	6241.760814
577	6240.632509
578	6240.493582
579	6240.352127
580	6239.660176
581	6239.548453
582	6237.102117
583	6236.976831
584	6236.923071
585	6236.837738
586	6229.049151
587	6227.261122
588	6225.273869
589	6224.966761
590	6223.902992
591	6222.2308
592	6222.184074
593	6222.140241
594	6222.005632
595	6221.926425
596	6214.296238
597	6206.816724
598	6206.690102
599	6206.30777
600	6198.410923
601	6198.178132
602	6196.913672
603	6191.100652
604	6190.846312
605	6187.816201
606	6187.633784
607	6185.594905
608	6184.793514
609	6184.45651
610	6180.66216
611	6180.390678
612	6180.080595
613	6180.025674
614	6175.742956
615	6173.886737
616	6173.833625
617	6172.260087
618	6167.986982
619	6166.633715
620	6166.328449
621	6165.19436
622	6164.985275
623	6163.801608
624	6163.682198
625	6157.410556
626	6156.565018
627	6156.25346
628	6156.043652
629	6155.976069
630	6155.345973
631	6153.990508
632	6148.540189
633	6147.937501
634	6147.670712
635	6147.539817
636	6147.456834
637	6146.515706
638	6146.180711
639	6145.572554
640	6142.310632
641	6141.133856
642	6140.998726
643	6138.661066
644	6137.925048
645	6137.85467
646	6137.346743
647	6132.355677
648	6132.050821
649	6131.580131
650	6130.688865
651	6130.540668
652	6130.476882
653	6129.477732
654	6129.029373
655	6128.201924
656	6120.233837
657	6115.760292
658	6115.489849
659	6114.917281
660	6113.841608
661	6111.868787
662	6111.044976
663	6110.993016
664	6110.674615
665	6110.294348
666	6109.924544
667	6107.571549
668	6107.526646
669	6107.225091
670	6106.901589
671	6106.80641
672	6106.41731
673	6105.026531
674	6099.064486
675	6098.236644
676	6098.129908
677	6097.925737
678	6093.371511
679	6093.347455
680	6091.483602
681	6085.556282
682	6085.296164
683	6076.397767
684	6076.278771
685	6076.16709
686	6070.541746
687	6068.744146
688	6068.480283
689	6068.422079
690	6068.349914
691	6064.570766
692	6064.331521
693	6063.429142
694	6063.062482
695	6061.762712
696	6058.793966
697	6056.815631
698	6052.467519
699	6048.379552
700	6048.275466
701	6047.932417
702	6046.589444
703	6046.527681
704	6042.220382
705	6042.178357
706	6041.617679
707	6041.102154
708	6038.161449
709	6037.365912
710	6036.542196
711	6036.19941
712	6033.710111
713	6033.598453
714	6033.235301
715	6032.141122
716	6030.647108
717	6030.232482
718	6030.220847
719	6030.125586
720	6029.790178
721	6029.687104
722	6029.22607
723	6029.13699
724	6026.379325
725	6022.783191
726	6022.43509
727	6022.021883
728	6018.193018
729	6017.947973
730	6017.693578
731	6017.225256
732	6016.7811
733	6015.738867
734	6014.700566
735	6014.21579
736	6012.367896
737	6010.312292
738	6006.653397
739	6006.554173
740	6006.281132
741	6000.618722
742	6000.510006
743	5997.581556
744	5989.694986
745	5989.488513
746	5989.418965
747	5989.302621
748	5984.613415
749	5977.189581
750	5976.980429
751	5976.849599
752	5974.368067
