iter	Passed	Remaining
0	10	10034
1	18	9027
2	26	8869
3	36	8973
4	49	9832
5	61	10132
6	70	9992
7	80	10014
8	92	10199
9	105	10406
10	116	10434
11	124	10218
12	131	10014
13	141	9933
14	148	9750
15	156	9641
16	165	9568
17	173	9471
18	182	9401
19	190	9358
20	199	9316
21	209	9294
22	217	9260
23	220	8965
24	228	8905
25	236	8869
26	243	8780
27	251	8746
28	266	8916
29	275	8896
30	284	8878
31	291	8819
32	300	8796
33	308	8776
34	317	8748
35	327	8756
36	337	8775
37	345	8744
38	353	8700
39	362	8694
40	370	8672
41	381	8692
42	383	8543
43	391	8513
44	395	8400
45	398	8254
46	405	8230
47	413	8210
48	422	8192
49	430	8170
50	437	8139
51	442	8071
52	450	8052
53	458	8039
54	467	8035
55	474	7994
56	476	7886
57	479	7793
58	488	7794
59	498	7806
60	507	7805
61	514	7788
62	522	7777
63	525	7690
64	535	7696
65	537	7608
66	540	7523
67	548	7521
68	557	7527
69	560	7446
70	570	7461
71	578	7461
72	586	7442
73	594	7434
74	602	7432
75	611	7432
76	620	7432
77	627	7419
78	636	7415
79	645	7426
80	654	7425
81	662	7417
82	670	7413
83	677	7392
84	685	7374
85	689	7328
86	696	7314
87	705	7310
88	714	7311
89	723	7312
90	732	7313
91	734	7252
92	742	7245
93	750	7238
94	753	7178
95	761	7175
96	771	7180
97	779	7172
98	788	7180
99	796	7166
100	805	7168
101	812	7156
102	820	7143
103	823	7095
104	832	7095
105	836	7056
106	844	7047
107	853	7046
108	861	7038
109	868	7027
110	877	7024
111	884	7011
112	892	7009
113	902	7011
114	909	7001
115	918	6998
116	927	6996
117	929	6949
118	938	6945
119	946	6938
120	953	6926
121	956	6886
122	964	6879
123	973	6880
124	982	6880
125	990	6873
126	998	6862
127	1006	6854
128	1011	6829
129	1014	6786
130	1021	6778
131	1030	6777
132	1038	6773
133	1047	6769
134	1056	6771
135	1059	6731
136	1067	6723
137	1072	6698
138	1080	6694
139	1088	6687
140	1097	6685
141	1102	6660
142	1111	6659
143	1118	6646
144	1126	6642
145	1135	6641
146	1143	6635
147	1152	6635
148	1157	6611
149	1164	6597
150	1172	6594
151	1181	6590
152	1183	6552
153	1191	6546
154	1198	6536
155	1206	6530
156	1215	6528
157	1223	6520
158	1232	6520
159	1240	6512
160	1248	6504
161	1254	6490
162	1263	6485
163	1268	6468
164	1278	6469
165	1287	6467
166	1295	6461
167	1303	6453
168	1310	6445
169	1320	6445
170	1328	6439
171	1331	6410
172	1338	6399
173	1346	6389
174	1355	6389
175	1363	6384
176	1372	6379
177	1379	6372
178	1387	6363
179	1396	6360
180	1404	6356
181	1412	6348
182	1419	6339
183	1428	6334
