iter	MAE
0	18228.66886
1	17908.00518
2	17537.63899
3	17126.9948
4	16821.75206
5	16461.69561
6	16131.0754
7	15753.52674
8	15443.72381
9	15147.87858
10	14839.91627
11	14532.83453
12	14262.39754
13	14069.43325
14	13840.31495
15	13699.35187
16	13513.43883
17	13359.86657
18	13133.74981
19	12943.42071
20	12762.8715
21	12647.12097
22	12492.45153
23	12316.10073
24	12172.58643
25	12031.1294
26	11903.30056
27	11767.21459
28	11631.39329
29	11604.36076
30	11488.48257
31	11338.45766
32	11238.12664
33	11129.62447
34	11032.36526
35	10954.50028
36	10879.93865
37	10753.32246
38	10651.55039
39	10573.49136
40	10480.72797
41	10466.46828
42	10453.1876
43	10427.63177
44	10336.81687
45	10323.57272
46	10313.18642
47	10254.3021
48	10196.07801
49	10125.73801
50	10096.88484
51	10084.16141
52	10010.40227
53	9984.765388
54	9974.38646
55	9961.970749
56	9909.528861
57	9859.730714
58	9809.63802
59	9765.736461
60	9759.157898
61	9752.142099
62	9696.273834
63	9646.373567
64	9641.736088
65	9607.397487
66	9552.136468
67	9545.601746
68	9496.024631
69	9482.151151
70	9444.677114
71	9405.047718
72	9399.959712
73	9377.204561
74	9331.097292
75	9297.371896
76	9294.090545
77	9270.446842
78	9265.316273
79	9229.646483
80	9194.664888
81	9190.661445
82	9153.905616
83	9137.307754
84	9134.250702
85	9060.011893
86	9035.177037
87	9021.695431
88	9005.836818
89	8995.038166
90	8985.390989
91	8956.17155
92	8920.785882
93	8919.401981
94	8915.738461
95	8913.815994
96	8874.278632
97	8873.192159
98	8866.766952
99	8856.627611
100	8855.435331
101	8853.669681
102	8834.859988
103	8833.306207
104	8824.719119
105	8823.570336
106	8822.342268
107	8820.266144
108	8788.315932
109	8787.012574
110	8778.986581
111	8765.090548
112	8764.111351
113	8757.771507
114	8757.376211
115	8716.212929
116	8715.213012
117	8714.818118
118	8708.291555
119	8697.815645
120	8697.390325
121	8696.819254
122	8660.936008
123	8649.056845
124	8636.113743
125	8635.826556
126	8635.218356
127	8573.464016
128	8554.435279
129	8505.541228
130	8500.235832
131	8498.850102
132	8498.060998
133	8496.580525
134	8495.938541
135	8473.807333
136	8470.510567
137	8469.728278
138	8469.333943
139	8468.945671
140	8467.671104
141	8467.583245
142	8452.363545
143	8438.255834
144	8438.152777
145	8438.054912
146	8435.459592
147	8435.019148
148	8416.410384
149	8413.38851
150	8412.932888
151	8411.518711
152	8410.670954
153	8410.172658
154	8408.868194
155	8408.806417
156	8405.326971
157	8403.459124
158	8402.791689
159	8379.951719
160	8378.80419
161	8361.289007
162	8314.042232
163	8313.742706
164	8312.758265
165	8311.847888
166	8291.995624
167	8291.844659
168	8291.492257
169	8282.379957
170	8282.351991
171	8281.750273
172	8258.301065
173	8257.691313
174	8256.419431
175	8255.710844
176	8254.420658
177	8212.49846
178	8211.8259
179	8211.425625
180	8171.945601
181	8171.505521
182	8133.508896
183	8132.397014
184	8126.453632
185	8123.657725
186	8123.255541
187	8083.840823
188	8083.075679
189	8058.895174
190	8057.999041
191	8056.426156
192	8055.384864
193	8009.294194
194	7995.033099
195	7993.423002
196	7992.09182
197	7991.858436
198	7976.533421
199	7976.44899
200	7975.985915
201	7950.242201
202	7950.026082
203	7911.651658
204	7911.371569
205	7911.193827
206	7910.6861
207	7909.218338
208	7874.739807
209	7842.593776
210	7841.368663
211	7836.620908
212	7836.274316
213	7804.761534
214	7788.006891
215	7787.012273
216	7786.870165
217	7786.72838
218	7786.165656
219	7753.680614
220	7741.71192
221	7741.281051
222	7738.391767
223	7733.173389
224	7733.039738
225	7705.019006
226	7704.403608
227	7704.307332
228	7702.031762
229	7684.145146
230	7683.919014
231	7671.721676
232	7644.231799
233	7608.543561
234	7608.044911
235	7607.850636
236	7607.715933
237	7594.463122
238	7588.263761
239	7588.128137
240	7587.348215
241	7587.046727
242	7571.474436
243	7553.419039
244	7551.793011
245	7550.696727
246	7549.557686
247	7545.675735
248	7535.419224
249	7535.327138
250	7525.70337
251	7525.348068
252	7525.213007
253	7515.448103
254	7515.338057
255	7512.47386
256	7509.161374
257	7487.410485
258	7485.124017
259	7482.131336
260	7466.630948
261	7436.895284
262	7436.801386
263	7436.700701
264	7426.503079
265	7425.658007
266	7421.376463
267	7408.938379
268	7408.536261
269	7408.272399
270	7407.813854
271	7406.922176
272	7374.912475
273	7371.603776
274	7364.184102
275	7333.485499
276	7305.971501
277	7305.747398
278	7300.801166
279	7300.104109
280	7270.99628
281	7263.275599
282	7253.1929
283	7252.513305
284	7252.44152
285	7242.178164
286	7216.588515
287	7216.035972
288	7194.37675
289	7191.333536
290	7191.27005
291	7191.086516
292	7185.616125
293	7184.785974
294	7175.125619
295	7174.209357
296	7153.216438
297	7153.06051
298	7150.039159
299	7122.018601
300	7104.6068
301	7097.252221
302	7097.151397
303	7097.098812
304	7097.030414
305	7094.525291
306	7093.887478
307	7091.868387
308	7091.04418
309	7089.113644
310	7068.464469
311	7068.215469
312	7067.739947
313	7053.576946
314	7053.495436
315	7052.789483
316	7052.71162
317	7051.981542
318	7051.606403
319	7051.541631
320	7051.31266
321	7038.89214
322	7038.454647
323	7033.026462
324	7029.481408
325	7027.814469
326	7027.725372
327	7027.495777
328	7024.318442
329	7003.916261
330	6992.811923
331	6979.376512
332	6975.296693
333	6966.226745
334	6965.667434
335	6965.317026
336	6954.280021
337	6952.803829
338	6934.066773
339	6931.220091
340	6923.407036
341	6923.020405
342	6922.058828
343	6921.715224
344	6921.46137
345	6921.26746
346	6902.449828
347	6898.819423
348	6898.606778
349	6894.563137
350	6880.409262
351	6873.962669
352	6873.56166
353	6870.767221
354	6870.132664
355	6868.080402
356	6867.782818
357	6867.45511
358	6866.36601
359	6865.884805
360	6863.341361
361	6857.313299
362	6845.373991
363	6845.212708
364	6845.050051
365	6834.508031
366	6826.390272
367	6826.300721
368	6823.444319
369	6822.862256
370	6813.038385
371	6812.906906
372	6811.799921
373	6807.766679
374	6798.353919
375	6798.137804
376	6797.321693
377	6794.734097
378	6794.636989
379	6794.121305
380	6781.81933
381	6781.252251
382	6781.235565
383	6773.32871
384	6758.91437
385	6758.6279
386	6746.201997
387	6745.124395
388	6744.79516
389	6739.109003
390	6724.766697
391	6724.374015
392	6724.283088
393	6722.408413
394	6719.007694
395	6716.290455
396	6705.049304
397	6704.438151
398	6703.589212
399	6703.141036
400	6690.507563
401	6686.851793
402	6674.942798
403	6674.448564
404	6671.658606
405	6670.158595
406	6668.265064
407	6666.948962
408	6666.140148
409	6665.21402
410	6664.710402
411	6650.335264
412	6641.096573
413	6630.567646
414	6629.458039
415	6629.393754
416	6629.194677
417	6628.79365
418	6628.163059
419	6626.838716
420	6622.536188
421	6621.193672
422	6619.8225
423	6610.464693
424	6610.039281
425	6602.517788
426	6602.315924
427	6601.571089
428	6601.151234
429	6593.393117
430	6590.482138
431	6577.044372
432	6565.104869
433	6565.008256
434	6554.362664
435	6554.10182
436	6550.431005
437	6549.225657
438	6548.989956
439	6548.318248
440	6547.808847
441	6547.736256
442	6547.488423
443	6547.280012
444	6547.137813
445	6547.020824
446	6543.506499
447	6535.09598
448	6534.482674
449	6529.199342
450	6525.845695
451	6523.492346
452	6522.584754
453	6521.98101
454	6515.896668
455	6506.607076
456	6502.271891
457	6501.588307
458	6500.832915
459	6500.500831
460	6491.603556
461	6481.716018
462	6481.562026
463	6481.163077
464	6479.372769
465	6476.195907
466	6476.153866
467	6475.902835
468	6472.300042
469	6472.15475
470	6471.613257
471	6468.435968
472	6464.653691
473	6464.497615
474	6458.559472
475	6458.32901
476	6457.596797
477	6457.492559
478	6457.275058
479	6455.705943
480	6455.178062
481	6453.215834
482	6453.123717
483	6452.586777
484	6451.756672
485	6451.502225
486	6448.878599
487	6445.237433
488	6440.322009
489	6440.238788
490	6438.910334
491	6436.398755
492	6436.043617
493	6433.170907
494	6433.112841
495	6420.725962
496	6417.434666
497	6417.39183
498	6412.590003
499	6411.67807
500	6411.008228
501	6408.597509
502	6408.323793
503	6405.561022
504	6405.40894
505	6404.765634
506	6402.144658
507	6396.27394
508	6390.719797
509	6389.747345
510	6389.208031
511	6386.522633
512	6386.354175
513	6384.056326
514	6383.473971
515	6383.248671
516	6381.163217
517	6381.054876
518	6371.865158
519	6361.830942
520	6350.479918
521	6341.896484
522	6339.734724
523	6330.483403
524	6327.893045
525	6327.604046
526	6326.184879
527	6326.107234
528	6325.827958
529	6324.791205
530	6322.474149
531	6320.841978
532	6319.278474
533	6319.134523
534	6313.219557
535	6304.751195
536	6302.631092
537	6302.534802
538	6299.642215
539	6294.232562
540	6294.051912
541	6293.810765
542	6293.730984
543	6293.198371
544	6292.476686
545	6292.433294
546	6292.182213
547	6286.635642
548	6285.689858
549	6277.710575
550	6277.663289
551	6269.477625
552	6261.99623
553	6256.993393
554	6251.249291
555	6251.167609
556	6246.077182
557	6244.956812
558	6243.919375
559	6243.211874
560	6242.931821
561	6239.770596
562	6239.720785
563	6239.439102
564	6236.265665
565	6234.680987
566	6232.751311
567	6227.204186
568	6227.106326
569	6226.650563
570	6226.006921
571	6225.961782
572	6221.503848
573	6218.205236
574	6214.617948
575	6209.274943
576	6207.583926
577	6205.871875
578	6204.323286
579	6198.030036
580	6197.9715
581	6197.68459
582	6196.645041
583	6195.906145
584	6195.745938
585	6195.340539
586	6192.775203
587	6192.181844
588	6191.145428
589	6191.017874
590	6190.378867
591	6189.562921
592	6189.070772
593	6188.655687
594	6185.498046
595	6180.834469
596	6180.368075
597	6179.216607
598	6177.858992
599	6177.252477
600	6175.978855
601	6175.931364
602	6170.562761
603	6170.188202
604	6170.129095
605	6169.982917
606	6164.362412
607	6161.348796
608	6161.297759
609	6160.426899
610	6157.292874
611	6152.258598
612	6151.775449
613	6151.029085
614	6150.72531
615	6149.249901
616	6148.002538
617	6147.532723
618	6143.900768
