iter	Passed	Remaining
0	9	9574
1	15	7503
2	21	7257
3	29	7283
4	34	6936
5	42	6994
6	50	7104
7	57	7073
8	66	7289
9	73	7262
10	80	7215
11	88	7251
12	95	7228
13	100	7100
14	107	7065
15	114	7048
16	121	7049
17	129	7048
18	135	7016
19	142	6969
20	150	6996
21	157	6989
22	163	6949
23	170	6928
24	176	6892
25	184	6912
26	191	6912
27	199	6916
28	206	6918
29	208	6753
30	216	6760
31	223	6771
32	231	6780
33	238	6783
34	246	6783
35	252	6771
36	259	6755
37	266	6743
38	273	6732
39	280	6731
40	287	6724
41	290	6626
42	294	6546
43	300	6532
44	307	6528
45	313	6509
46	317	6436
47	324	6443
48	331	6441
49	339	6448
50	346	6449
51	352	6431
52	359	6427
53	366	6412
54	372	6392
55	378	6379
56	385	6374
57	392	6371
58	399	6369
59	407	6376
60	413	6357
61	417	6313
62	424	6314
63	432	6329
64	435	6257
65	441	6251
66	449	6258
67	455	6245
68	462	6240
69	469	6236
70	476	6239
71	483	6233
72	487	6194
73	495	6195
74	502	6198
75	509	6192
76	511	6132
77	517	6122
78	524	6112
79	531	6115
80	538	6112
81	544	6099
82	551	6091
83	558	6092
84	565	6085
85	572	6081
86	579	6081
87	586	6079
88	593	6073
89	599	6066
90	606	6060
91	613	6058
92	620	6049
93	622	5999
94	628	5990
95	634	5970
96	640	5965
97	643	5925
98	651	5925
99	658	5924
100	664	5915
101	671	5907
102	677	5902
103	685	5902
104	691	5895
105	697	5880
106	703	5870
107	709	5863
108	717	5863
109	723	5855
110	730	5852
111	738	5852
112	742	5826
113	748	5817
114	750	5776
115	757	5775
116	764	5768
117	767	5734
118	774	5730
119	781	5728
120	785	5703
121	791	5696
122	798	5693
123	805	5693
124	812	5689
125	814	5652
126	820	5642
127	827	5639
128	832	5618
129	838	5609
130	845	5607
131	853	5610
132	860	5612
133	867	5603
134	873	5595
135	879	5588
136	886	5586
137	894	5584
138	899	5574
139	907	5571
140	913	5566
141	916	5537
142	923	5536
143	930	5532
144	932	5500
145	935	5469
146	942	5469
147	948	5462
148	954	5453
149	961	5447
150	968	5445
151	975	5443
152	983	5443
153	989	5435
154	994	5424
155	997	5394
156	1003	5390
157	1011	5390
158	1018	5388
159	1025	5385
160	1032	5379
161	1039	5374
162	1046	5375
163	1053	5372
164	1060	5368
165	1067	5365
166	1075	5364
167	1079	5345
168	1085	5337
169	1092	5333
170	1095	5308
171	1101	5302
172	1108	5298
173	1115	5295
174	1121	5286
175	1128	5282
176	1134	5276
177	1141	5271
178	1148	5268
179	1155	5262
180	1161	5257
181	1167	5249
182	1175	5246
183	1181	5239
184	1188	5234
185	1195	5230
186	1202	5228
187	1209	5223
188	1216	5218
189	1223	5214
190	1229	5209
191	1236	5204
192	1242	5196
193	1249	5191
194	1255	5184
195	1262	5178
196	1268	5172
197	1275	5166
198	1282	5161
199	1288	5154
200	1293	5143
201	1300	5137
202	1307	5132
203	1314	5128
204	1321	5124
205	1327	5118
206	1334	5111
207	1340	5105
208	1348	5103
209	1356	5101
210	1363	5097
211	1370	5093
212	1377	5090
213	1386	5092
214	1393	5088
215	1400	5082
216	1406	5074
217	1412	5066
218	1419	5061
219	1426	5056
220	1433	5053
221	1440	5047
222	1446	5041
223	1454	5037
224	1460	5029
225	1467	5024
226	1473	5017
227	1479	5010
228	1486	5005
229	1493	5000
230	1501	4999
231	1509	4995
232	1516	4992
233	1523	4986
234	1531	4984
235	1538	4979
236	1544	4972
237	1551	4966
238	1558	4963
239	1564	4955
240	1571	4947
241	1577	4942
242	1584	4935
243	1591	4931
244	1598	4926
245	1606	4922
246	1613	4917
247	1619	4912
248	1626	4906
249	1634	4902
250	1641	4899
251	1647	4890
252	1654	4884
253	1662	4881
254	1669	4877
255	1675	4869
256	1682	4863
257	1688	4856
258	1695	4850
259	1703	4847
260	1710	4841
261	1717	4838
262	1723	4831
263	1730	4823
264	1737	4818
265	1744	4814
266	1751	4809
267	1759	4805
268	1766	4800
269	1773	4795
270	1780	4788
271	1788	4785
272	1795	4782
273	1803	4777
274	1810	4773
275	1817	4767
276	1824	4762
277	1831	4757
278	1839	4752
279	1846	4746
280	1853	4742
281	1860	4737
282	1868	4734
283	1875	4728
284	1883	4724
285	1890	4720
286	1898	4716
287	1905	4709
288	1912	4706
289	1919	4699
290	1926	4692
291	1932	4686
292	1939	4679
293	1946	4674
294	1954	4670
295	1961	4664
296	1968	4658
297	1975	4652
298	1982	4647
299	1989	4642
300	1996	4637
301	2004	4632
302	2011	4625
303	2018	4620
304	2025	4616
305	2033	4611
306	2040	4606
307	2048	4602
308	2055	4596
309	2062	4591
310	2070	4587
311	2076	4579
312	2083	4573
313	2091	4569
314	2097	4561
315	2104	4554
316	2112	4551
317	2119	4545
318	2126	4539
319	2133	4534
320	2140	4528
321	2147	4522
322	2153	4514
323	2161	4509
324	2168	4504
325	2175	4497
326	2182	4491
327	2189	4485
